odometer,year,state_encoded,odometer^2,odometer year,odometer state_encoded,year^2,year state_encoded,state_encoded^2,odometer^3,odometer^2 year,odometer^2 state_encoded,odometer year^2,odometer year state_encoded,odometer state_encoded^2,year^3,year^2 state_encoded,year state_encoded^2,state_encoded^3
200000.0,2004.0,18771.65240378704,40000000000.0,400800000.0,3754330480.757408,4016016.0,37618391.417189226,352374933.9686038,8000000000000000.0,80160000000000.0,750866096151481.6,803203200000.0,7523678283437.845,70474986793720.77,8048096064.0,75387256400.04721,706159367673.082,6614659776266.041
39698.0,2017.0,18864.278020378457,1575931204.0,80070866.0,748874108.852984,4068289.0,38049248.767103344,355860985.2301338,62561316936392.0,3178653238468.0,29728804373245.758,161502936722.0,1510479077556.4685,14126969391665.85,8205738913.0,76745334763.24745,717771607209.1798,6713060561987.035
122651.0,2007.0,16275.542699724518,15043267801.0,246160557.0,1996211587.6639118,4028049.0,32665014.198347107,264893290.17055604,1845071839060451.0,30191838476607.0,244837347438566.44,494044237899.0,4006396656441.471,32489426932708.867,8084294343.0,65558683496.08264,531640833372.30597,4311282055041.402
59009.0,2013.0,21859.11013986014,3482062081.0,118785117.0,1289884230.243007,4052169.0,44002388.71153846,477820696.1065363,205473001337729.0,7009390969053.0,76114778542409.6,239114440521.0,2596536955479.173,28195721456550.6,8157016197.0,88576808476.32692,961853061262.4576,10444735223297.418
47180.0,2018.0,19990.62055641422,2225952400.0,95209240.0,943157477.8516228,4072324.0,40341072.282843895,399624910.23053074,105020434232000.0,4491971943200.0,44498169805039.56,192132246320.0,1903291790304.575,18854303264676.44,8217949832.0,81408283866.77898,806443068845.211,7988749945309.635
157587.0,2009.0,17844.73610223642,24833662569.0,316592283.0,2812098428.143131,4036081.0,35850074.82939297,318434606.5584599,3913462383261003.0,49890828101121.0,443150154995791.56,636033896547.0,5649505742139.55,50181154343728.016,8108486729.0,72022800332.25047,639735124575.9459,5682381519855.199
107147.0,2008.0,17749.70385073442,11480479609.0,215151176.0,1901827518.4946408,4032064.0,35641405.33227471,315051986.7887763,1230098948665523.0,23052803054872.0,203775113124145.28,432023561408.0,3818869657137.239,33756875228457.01,8096384512.0,71567941907.20763,632624389471.8628,5592079463086.271
121000.0,2007.0,18771.65240378704,14641000000.0,242847000.0,2271369940.858232,4028049.0,37674706.37440059,352374933.9686038,1771561000000000.0,29384487000000.0,274835762843846.06,487393929000.0,4558639471302.472,42637367010201.055,8084294343.0,75613135693.422,707216492474.9878,6614659776266.041
85000.0,2008.0,18219.515325670498,7225000000.0,170680000.0,1548658802.6819923,4032064.0,36584786.77394636,331950738.70234215,614125000000000.0,14507800000000.0,131635998227969.34,342725440000.0,3109706875785.4404,28215812789699.082,8096384512.0,73462251842.08429,666557083314.3031,6047981571154.966
7115.0,2019.0,21859.11013986014,50623225.0,14365185.0,155527568.6451049,4076361.0,44133543.37237762,477820696.1065363,360184245875.0,102208291275.0,1106578650909.9211,29003308515.0,314010161094.46674,3399694252798.006,8230172859.0,89105624068.83041,964719985439.0968,10444735223297.418
182563.0,2005.0,18997.989561586637,33329248969.0,366038815.0,3468329968.331941,4020025.0,38090969.070981205,360923607.3821548,6084687679527547.0,66825144182845.0,633188724008584.1,733907824075.0,6954001586505.542,65891296534508.33,8060150125.0,76372392987.31732,723651832801.2205,6856822925576.371
179842.0,2006.0,17976.194444444445,32343144964.0,360763052.0,3232874761.277778,4024036.0,36060246.05555556,323143566.70447534,5816655876615688.0,64880348797784.0,581406662817718.1,723690682312.0,6485146771123.223,58114785323266.26,8072216216.0,72336853587.44446,648225994809.1775,5808891588550.953
98000.0,2011.0,17749.70385073442,9604000000.0,197078000.0,1739470977.371973,4044121.0,35694654.443826914,315051986.7887763,941192000000000.0,19313644000000.0,170468155782453.34,396323858000.0,3498076135495.0376,30875094705300.074,8132727331.0,71781950086.53592,633569545432.2291,5592079463086.271
136000.0,1998.0,12530.001731601731,18496000000.0,271728000.0,1704080235.4978354,3992004.0,25034943.45974026,157000943.3939424,2515456000000000.0,36955008000000.0,231754912027705.62,542912544000.0,3404752310524.6753,21352128301576.164,7976023992.0,50019817032.561035,313687884901.09686,1967222092589.2034
33327.0,2017.0,15468.9955654102,1110688929.0,67220559.0,515535215.2084257,4068289.0,31200964.05543237,239289823.80268043,37015929936783.0,2240259569793.0,17181242117251.203,135583867503.0,1039834529075.3947,7974811957871.931,8205738913.0,62932344499.80709,482647574610.0064,3701573223251.4517
38619.0,2018.0,14610.444888178914,1491427161.0,77933142.0,564240771.1365814,4072324.0,29483877.78434505,213465099.83051336,57597425530659.0,3009700010898.0,21790414340523.637,157269080556.0,1138637876153.6216,8243808690354.596,8217949832.0,59498465368.80831,430772571457.97595,3118820076623.3257
67878.0,2015.0,19904.701550387595,4607422884.0,136774170.0,1351091331.8372092,4060225.0,40107973.62403101,396197143.8100023,312742650520152.0,9283957111260.0,91709377422446.1,275599952550.0,2722449033651.9766,26893069727535.34,8181353375.0,80817566852.42249,798337244777.1547,7886185902654.091
142000.0,2009.0,13234.48772763262,20164000000.0,285278000.0,1879297257.323832,4036081.0,26588085.844813935,175151665.41285846,2863288000000000.0,40509476000000.0,266860210539984.16,573123502000.0,3775508189963.5786,24871536488625.902,8108486729.0,53415464462.23119,351879695814.4326,2318042566380.89
157709.0,2006.0,16610.72462077013,24872128681.0,316364254.0,2619660769.2170362,4024036.0,33321113.589264877,275916172.42705894,3922558542151829.0,49893490134086.0,413144080252449.56,634626693524.0,5255039503049.374,43514463637299.04,8072216216.0,66842153860.065346,553487841888.6802,4583167558602.804
139056.0,2012.0,16610.72462077013,19336571136.0,279780672.0,2309820922.865811,4048144.0,33420777.936989497,275916172.42705894,2688866235887616.0,38905181125632.0,321194458250028.2,562918712064.0,4647359696806.012,38367799273017.11,8144865728.0,67242605209.22287,555143338923.2426,4583167558602.804
122769.0,1995.0,18771.65240378704,15072227361.0,244924155.0,2304576993.960531,3980025.0,37449446.545555145,352374933.9686038,1850402280882609.0,30069093585195.0,282930612971540.44,488623689225.0,4597631102951.26,43260718268391.516,7940149875.0,74711645858.3825,702987993267.3645,6614659776266.041
